,GAGE_ID,COMID,startDT,endDT
1,USGS-01409000,9453855,3/4/1985,4/4/2005
2,USGS-01409280,166248246,5/15/1997,5/15/2017
3,USGS-01410150,9454631,4/30/1989,4/30/2009
4,USGS-02247510,16687209,6/22/1988,6/22/2008
5,USGS-02314500,1997544,4/16/1997,5/5/2017
6,USGS-02315550,166743979,1/10/1997,11/1/2017
7,USGS-02327033,10319918,1/25/1996,12/28/2019
8,USGS-02327100,10365698,1/29/1998,12/28/2019
9,USGS-02330400,2077651,1/22/1999,12/29/2019
10,USGS-02366996,476177,1/2/2000,12/27/2020
11,USGS-02367310,476941,2/8/1998,2/8/2018
12,USGS-07176500,847886,4/10/1999,4/20/2019
13,USGS-07207500,20058852,6/8/1992,6/8/2012
14,USGS-08294210,17866820,6/18/2001,6/18/2021
15,USGS-09383400,20585814,5/29/2001,5/29/2021
16,USGS-09414900,4916220,6/22/1995,7/23/2015
17,USGS-09430600,2430436,6/8/1986,6/8/2006
18,USGS-09444200,21355827,5/29/2001,5/29/2021
19,USGS-09484000,15893872,6/17/1993,6/17/2013
20,USGS-09489500,20498017,5/29/2001,5/29/2021
21,USGS-09490500,20492935,5/29/2001,5/29/2021
22,USGS-09496500,21735362,6/18/1992,6/18/2012
23,USGS-09497800,22440644,6/18/1992,6/18/2012
24,USGS-09508300,20437386,6/24/1994,6/24/2014
25,USGS-10146000,10330245,7/19/1997,7/19/2017
26,USGS-10257600,22590267,7/9/1996,7/9/2016
27,USGS-10260500,22660265,8/28/1989,8/28/2009
28,USGS-10260950,22660257,10/25/1993,10/25/2013
29,USGS-10311200,8919959,7/14/1994,7/14/2014
30,USGS-11062000,22554826,10/21/1993,10/21/2013
31,USGS-11062001,22554826,10/21/1993,10/21/2013
32,USGS-11098000,22514774,8/26/1999,8/26/2019
33,USGS-11109525,24858039,8/13/1996,9/4/2016
34,USGS-11109600,17572335,8/13/1996,9/4/2016
35,USGS-11109800,17575859,8/13/1996,9/4/2016
36,USGS-11113000,17574345,9/4/1996,9/4/2016
37,USGS-11119745,17595453,5/5/1999,5/5/2019
38,USGS-11119750,17595453,5/5/1999,5/5/2019
39,USGS-11123000,17610919,7/4/1997,7/4/2017
40,USGS-11123500,17611449,7/4/1997,7/4/2017
41,USGS-11124500,17611425,7/4/1997,7/4/2017
42,USGS-11128500,17609015,7/4/1997,7/4/2017
43,USGS-11138500,17625379,7/4/1997,7/4/2017
44,USGS-11143000,8189809,9/9/1989,6/21/2018
45,USGS-11148900,8209965,5/28/1986,10/7/2006
46,USGS-11151870,8203373,6/8/1998,6/21/2018
47,USGS-11152000,8205291,6/8/1998,6/21/2018
48,USGS-11152050,8205489,6/8/1998,6/21/2018
49,USGS-11381500,8019544,9/28/1989,9/28/2009
50,USGS-11427700,14992381,8/25/1991,8/25/2011
51,USGS-11427750,14992381,8/25/1991,8/25/2011
52,USGS-11451100,8005975,8/11/1986,8/11/2006
53,USGS-11526500,8244332,9/2/1996,9/2/2016
54,USGS-12374250,24357005,7/31/1997,7/31/2017
55,USGS-12447390,24384943,6/30/1993,6/30/2013
56,USGS-12448000,24383027,7/3/1996,7/24/2016
57,USGS-13239000,24177467,8/2/1984,8/2/2004
58,USGS-13310700,23551284,7/6/1997,7/17/2017
59,USGS-13313000,23551584,7/17/1997,7/17/2017
60,USGS-14091500,23700105,7/5/1993,8/19/2013
61,USGS-14316495,23894558,8/13/1986,8/17/2018
62,USGS-14338000,23923878,7/13/1992,7/13/2012
63,USGS-14400000,23949601,7/13/1992,7/13/2012
